0.0	2104.0
1.0	370.0
2.0	596.0
3.0	309.0
4.0	380.0
5.0	1515.0
6.0	644.0
7.0	379.0
8.0	2433.0
9.0	580.0
10.0	563.0
11.0	664.0
12.0	945.0
13.0	687.0
14.0	730.0
15.0	815.0
16.0	1113.0
17.0	880.0
18.0	525.0
19.0	432.0
20.0	154.0
21.0	819.0
22.0	206.0
23.0	1076.0
24.0	187.0
25.0	216.0
26.0	714.0
27.0	709.0
28.0	345.0
29.0	116.0
30.0	171.0
31.0	685.0
32.0	195.0
33.0	48.0
34.0	386.0
35.0	327.0
36.0	88.0
37.0	575.0
38.0	293.0
39.0	269.0
40.0	827.0
41.0	284.0
42.0	488.0
43.0	664.0
44.0	158.0
45.0	75.0
46.0	363.0
47.0	138.0
48.0	416.0
49.0	481.0
50.0	128.0
51.0	518.0
52.0	372.0
53.0	205.0
54.0	259.0
55.0	379.0
56.0	255.0
57.0	165.0
58.0	285.0
59.0	115.0
60.0	143.0
61.0	319.0
62.0	548.0
63.0	366.0
64.0	209.0
65.0	143.0
66.0	152.0
67.0	153.0
68.0	125.0
69.0	129.0
70.0	93.0
71.0	790.0
72.0	489.0
73.0	95.0
74.0	103.0
75.0	193.0
76.0	116.0
77.0	339.0
78.0	258.0
79.0	98.0
80.0	95.0
81.0	452.0
82.0	50.0
83.0	222.0
84.0	197.0
85.0	126.0
86.0	135.0
87.0	129.0
88.0	185.0
89.0	169.0
90.0	119.0
91.0	791.0
92.0	128.0
93.0	86.0
94.0	213.0
95.0	294.0
96.0	198.0
97.0	392.0
98.0	135.0
99.0	150.0
100.0	123.0
101.0	196.0
102.0	260.0
103.0	60.0
104.0	160.0
105.0	134.0
106.0	53.0
107.0	307.0
108.0	290.0
109.0	255.0
110.0	148.0
111.0	76.0
112.0	247.0
113.0	117.0
114.0	113.0
115.0	154.0
116.0	240.0
117.0	145.0
118.0	76.0
119.0	263.0
120.0	120.0
121.0	137.0
122.0	230.0
123.0	134.0
124.0	203.0
125.0	106.0
126.0	59.0
127.0	145.0
128.0	163.0
129.0	115.0
130.0	69.0
131.0	129.0
132.0	87.0
133.0	93.0
134.0	92.0
135.0	85.0
136.0	193.0
137.0	320.0
138.0	506.0
139.0	84.0
140.0	68.0
141.0	85.0
142.0	75.0
143.0	85.0
144.0	153.0
145.0	171.0
146.0	137.0
147.0	69.0
148.0	70.0
149.0	186.0
150.0	206.0
151.0	120.0
152.0	79.0
153.0	64.0
154.0	36.0
155.0	87.0
156.0	84.0
157.0	332.0
158.0	125.0
159.0	116.0
160.0	203.0
161.0	114.0
162.0	65.0
163.0	53.0
164.0	102.0
165.0	108.0
166.0	83.0
167.0	116.0
168.0	66.0
169.0	87.0
170.0	259.0
171.0	78.0
172.0	222.0
173.0	177.0
174.0	76.0
175.0	92.0
176.0	97.0
177.0	97.0
178.0	62.0
179.0	49.0
180.0	90.0
181.0	50.0
182.0	66.0
183.0	149.0
184.0	47.0
185.0	74.0
186.0	227.0
187.0	55.0
188.0	40.0
189.0	125.0
190.0	76.0
191.0	96.0
192.0	166.0
193.0	95.0
194.0	110.0
195.0	94.0
196.0	168.0
197.0	80.0
198.0	96.0
199.0	168.0
200.0	115.0
201.0	94.0
202.0	97.0
203.0	38.0
204.0	52.0
205.0	43.0
206.0	49.0
207.0	97.0
208.0	126.0
209.0	63.0
210.0	138.0
211.0	139.0
212.0	110.0
213.0	48.0
214.0	179.0
215.0	86.0
216.0	99.0
217.0	46.0
218.0	43.0
219.0	143.0
220.0	46.0
221.0	210.0
222.0	133.0
223.0	83.0
224.0	56.0
225.0	54.0
226.0	35.0
227.0	81.0
228.0	73.0
229.0	56.0
230.0	47.0
231.0	99.0
232.0	95.0
233.0	58.0
234.0	88.0
235.0	64.0
236.0	37.0
237.0	41.0
238.0	47.0
239.0	56.0
240.0	48.0
241.0	95.0
242.0	65.0
243.0	41.0
244.0	72.0
245.0	35.0
246.0	49.0
247.0	58.0
248.0	63.0
249.0	53.0
250.0	64.0
251.0	63.0
252.0	55.0
253.0	38.0
254.0	89.0
255.0	47.0
256.0	33.0
257.0	50.0
